,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,target
12,-299.6135,123.08724,3.1386514,28.886301,1.994079,-4.6377144,-29.142122,-4.5063467,-2.2458858,-14.383164,1.4430317,-3.5635557,-3.3943546,-1.9161905,5.496655,-0.061231107,-5.9247165,4.2881875,-3.7516994,-6.208224,-1.5769669,-1.9909368,1.0173113,-4.462421,-3.5412652,-2.4419863,-4.1137652,-0.7274829,-2.1714864,-2.1973484,3
13,-332.38647,117.57882,15.035834,30.004768,26.749485,-1.3320944,-24.879837,-3.368638,1.6282018,-9.859702,0.0739355,-0.97562295,-5.3576465,2.6180923,10.802022,-1.8703526,-4.6104116,4.7464314,-2.4466496,-1.6870269,0.5927777,0.10977833,2.0925267,-1.0024961,0.51503015,-2.3649738,-1.579503,0.8731613,-3.6797462,-2.2015524,3
14,-296.5961,94.008575,0.56966317,22.934097,13.073592,-2.0591974,-23.078985,-2.9625092,-2.9046073,-14.100929,-0.5610021,-1.400911,-3.7146263,1.7361997,6.9785004,-2.2726898,-4.4064436,6.4688907,-1.6225202,-4.438018,1.642687,0.3309999,0.5464434,-3.4088387,-1.4988365,-3.664624,-3.5683095,1.7176634,-1.0433573,0.070870385,3
15,-286.51,102.862076,6.993008,15.80298,7.4843383,-1.4864595,-24.865528,-5.143673,-0.048897717,-10.817688,-0.87568086,-1.3206804,-2.8346164,-1.9469491,5.9785633,-0.25968403,-3.749432,6.0670056,-2.695896,-4.1158643,-1.1794407,-0.60795903,2.4693246,-3.6732888,-2.6904223,-3.0344653,-2.0925143,1.3437068,-1.4529941,-1.1473742,3
16,-297.13733,121.77495,-7.8063893,18.556658,14.238126,-2.3800778,-20.3908,3.7208133,4.4961066,-11.7422695,2.8325212,0.43895072,-4.350377,1.8050097,3.8658686,-3.2413733,-2.9584734,1.510129,-3.8357184,-2.485796,0.46634483,1.6318995,3.3823164,-0.38315025,-0.45818508,-2.3826458,-1.3786199,1.6000377,-1.2330267,-0.32945582,3
17,-318.13553,112.58883,12.374594,34.595497,11.6200695,-2.9165175,-24.857399,-2.5952978,-1.001106,-11.582632,-2.4874856,-0.96955985,-0.9280204,-1.639375,5.179864,0.6595457,-3.4037251,5.591517,-0.92795783,-5.7366056,0.057450656,0.5403334,1.7846651,-2.0802836,-1.2531933,-3.5327623,-4.1997395,-0.15874061,-2.0089548,0.5863893,3
18,-308.61667,112.89538,3.3360171,27.931599,2.4958987,0.74203986,-22.064339,-3.0539012,0.031788327,-11.417887,1.945629,0.61327976,-1.594744,-1.2030655,3.9994261,1.0454571,-1.7322644,5.1483912,-1.3333243,-1.5358615,1.0935068,-1.2384074,3.0955675,-2.7592945,-0.7048657,-2.2490458,-2.8006558,1.854862,-1.1868327,0.034075957,3
19,-291.58176,81.02637,9.10845,24.494436,-3.5943027,-2.645555,-20.224005,-4.1711864,-1.0870988,-7.8634667,-1.4406084,-4.0010896,-4.7583904,-1.5432146,6.4123907,1.2326361,-0.22794597,3.368128,-3.8342595,-3.5018554,-1.3468876,-1.5786772,1.198268,-2.4348426,-1.091542,-1.8728333,-2.6895404,-0.9081953,-1.3000828,1.2822907,3
20,-334.07016,99.63335,4.961582,26.74598,10.590622,-2.2806165,-14.039484,7.0788817,-0.14858867,-7.4751925,1.1453953,0.32320827,-2.1522183,0.95283085,3.6076508,-1.9612439,3.4952273,1.7204771,-3.1259677,0.14375575,1.9525368,0.05659056,1.3417656,-0.89989465,-3.434101,-2.599157,-1.6352,0.23604308,-1.1769856,1.3529892,3
21,-264.4429,92.175514,-6.9837804,12.970492,4.117482,2.2182486,-20.711592,-2.5316265,-4.0603256,-10.617123,-0.78115314,-3.2015362,-1.3616588,-1.8629141,2.6398172,-2.4965904,-1.7103112,6.831007,-0.49500793,-2.58866,-1.7097291,-2.629056,-2.0480237,-3.192752,-0.7981288,-2.7024746,-0.3824298,2.7935867,1.9991131,3.173663,1
22,-283.90677,108.720634,6.284859,21.26957,11.845762,-3.6297395,-22.8148,3.0713768,-6.7359514,-16.284792,0.41956484,-2.9787548,-2.7728527,-2.8540752,4.9031606,-4.132538,-3.2121198,8.219103,-3.3014035,-2.2788126,2.4692984,-1.7346097,-2.3496013,-0.41508207,0.4979879,-3.274551,-2.8562531,-1.6004272,-4.6960096,-2.0209913,1
